timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,,
1.76336E+12,9,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-7,text,TRUE,,6114,501,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,9,0,0,,,,,,
1.76336E+12,28,/roller/roller-ui/menu.rol-358,200,OK,User1 2-4,text,TRUE,,6284,941,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,7,0,0,,,,,,
1.76336E+12,7,/roller/roller-ui/menu.rol-358-0,302,Found,User1 2-4,,TRUE,,170,470,9,9,http://172.26.129.146:8080/roller/roller-ui/menu.rol,7,0,0,,,,,,
1.76336E+12,21,/roller/roller-ui/menu.rol-358-1,200,OK,User1 2-4,text,TRUE,,6114,471,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,21,0,0,,,,,,
1.76336E+12,23,/roller/roller-ui/menu.rol-348,200,OK,User1 2-7,text,TRUE,,6284,979,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,17,0,0,,,,,,
1.76336E+12,17,/roller/roller-ui/menu.rol-348-0,302,Found,User1 2-7,,TRUE,,170,489,9,9,http://172.26.129.146:8080/roller/roller-ui/menu.rol,17,0,0,,,,,,
1.76336E+12,6,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-7,text,TRUE,,6114,490,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,6,0,0,,,,,,
1.76336E+12,28,/roller/roller-ui/menu.rol-343,200,OK,User1 2-6,text,TRUE,,6284,1001,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,14,0,0,,,,,,
1.76336E+12,14,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-6,,TRUE,,170,500,9,9,http://172.26.129.146:8080/roller/roller-ui/menu.rol,14,0,0,,,,,,
1.76336E+12,14,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-6,text,TRUE,,6114,501,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,14,0,0,,,,,,
1.76336E+12,13,/roller/roller-ui/menu.rol-348,200,OK,User1 2-6,text,TRUE,,6284,979,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,2,0,0,,,,,,
1.76336E+12,2,/roller/roller-ui/menu.rol-348-0,302,Found,User1 2-6,,TRUE,,170,489,9,9,http://172.26.129.146:8080/roller/roller-ui/menu.rol,2,0,0,,,,,,
1.76336E+12,11,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-6,text,TRUE,,6114,490,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,11,0,0,,,,,,
1.76336E+12,25,/roller/roller-ui/login-redirect.rol-363,200,OK,User1 2-4,text,TRUE,,6284,989,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,8,0,0,,,,,,
1.76336E+12,8,/roller/roller-ui/login-redirect.rol-363-0,302,Found,User1 2-4,,TRUE,,170,499,9,9,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,8,0,0,,,,,,
1.76336E+12,17,/roller/roller-ui/login-redirect.rol-363-1,200,OK,User1 2-4,text,TRUE,,6114,490,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,17,0,0,,,,,,
1.76336E+12,101,/roller/-410,200,OK,User1 2-1,text,TRUE,,6552,489,10,10,http://172.26.129.146:8080/roller/,101,0,0,,,,,,
1.76336E+12,115,/roller/-357,200,OK,User1 2-3,text,TRUE,,6552,452,10,10,http://172.26.129.146:8080/roller/,115,0,0,,,,,,
1.76336E+12,115,/roller/-357,200,OK,User1 2-2,text,TRUE,,6552,452,10,10,http://172.26.129.146:8080/roller/,115,0,0,,,,,,
1.76336E+12,117,/roller/-332,200,OK,User1 2-8,text,TRUE,,7249,356,10,10,http://172.26.129.146:8080/roller/,117,0,3,,,,,,
1.76336E+12,13,/roller/roller-ui/menu.rol-358,200,OK,User1 2-3,text,TRUE,,6284,941,10,10,http://172.26.129.146:8080/roller/roller-ui/login.rol,5,0,0,,,,,,
1.76336E+12,5,/roller/roller-ui/menu.rol-358-0,302,Found,User1 2-3,,TRUE,,170,470,10,10,http://172.26.129.146:8080/roller/roller-ui/menu.rol,5,0,0,,,,,,
1.76336E+12,8,/roller/roller-ui/menu.rol-358-1,200,OK,User1 2-3,text,TRUE,,6114,471,10,10,http://172.26.129.146:8080/roller/roller-ui/login.rol,8,0,0,,,,,,
1.76336E+12,18,/roller/roller-ui/menu.rol-358,200,OK,User1 2-2,text,TRUE,,6284,941,11,11,http://172.26.129.146:8080/roller/roller-ui/login.rol,5,0,0,,,,,,
1.76336E+12,5,/roller/roller-ui/menu.rol-358-0,302,Found,User1 2-2,,TRUE,,170,470,11,11,http://172.26.129.146:8080/roller/roller-ui/menu.rol,5,0,0,,,,,,
1.76336E+12,13,/roller/roller-ui/menu.rol-358-1,200,OK,User1 2-2,text,TRUE,,6114,471,11,11,http://172.26.129.146:8080/roller/roller-ui/login.rol,13,0,0,,,,,,
1.76336E+12,64,/roller/-353,200,OK,User1 2-6,text,TRUE,,6552,471,11,11,http://172.26.129.146:8080/roller/,64,0,0,,,,,,
1.76336E+12,20,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-8,text,TRUE,,6284,951,11,11,http://172.26.129.146:8080/roller/roller-ui/login.rol,7,0,0,,,,,,
1.76336E+12,7,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-8,,TRUE,,170,480,11,11,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,7,0,0,,,,,,
1.76336E+12,13,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-8,text,TRUE,,6114,471,11,11,http://172.26.129.146:8080/roller/roller-ui/login.rol,13,0,0,,,,,,
1.76336E+12,65,/roller/-410,200,OK,User1 2-4,text,TRUE,,6552,489,11,11,http://172.26.129.146:8080/roller/,65,0,0,,,,,,
1.76336E+12,131,/roller/-353,200,OK,User1 2-5,text,TRUE,,6552,471,11,11,http://172.26.129.146:8080/roller/,131,0,0,,,,,,
1.76336E+12,90,/roller/-353,200,OK,User1 2-7,text,TRUE,,6552,471,11,11,http://172.26.129.146:8080/roller/,90,0,0,,,,,,
1.76336E+12,11,/roller/-357,200,OK,User1 2-6,text,TRUE,,6552,452,11,11,http://172.26.129.146:8080/roller/,11,0,0,,,,,,
1.76336E+12,70,/roller/-332,200,OK,User1 2-10,text,TRUE,,7249,356,11,11,http://172.26.129.146:8080/roller/,70,0,2,,,,,,
1.76336E+12,38,/roller/roller-ui/register.rol-411,200,OK,User1 2-1,text,TRUE,,3901,474,11,11,http://172.26.129.146:8080/roller/roller-ui/register.rol,38,0,0,,,,,,
1.76336E+12,76,/roller/roller-ui/register.rol-411,200,OK,User1 2-4,text,TRUE,,3901,474,12,13,http://172.26.129.146:8080/roller/roller-ui/register.rol,76,0,0,,,,,,
1.76336E+12,100,/roller/roller-ui/login-redirect.rol-363,200,OK,User1 2-3,text,TRUE,,6284,989,12,14,http://172.26.129.146:8080/roller/roller-ui/login.rol,15,0,0,,,,,,
1.76336E+12,15,/roller/roller-ui/login-redirect.rol-363-0,302,Found,User1 2-3,,TRUE,,170,499,12,14,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,15,0,0,,,,,,
1.76336E+12,85,/roller/roller-ui/login-redirect.rol-363-1,200,OK,User1 2-3,text,TRUE,,6114,490,12,14,http://172.26.129.146:8080/roller/roller-ui/login.rol,85,0,0,,,,,,
1.76336E+12,206,/roller/-332,200,OK,User1 2-9,text,TRUE,,7249,356,13,15,http://172.26.129.146:8080/roller/,206,0,2,,,,,,
1.76336E+12,109,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-10,text,TRUE,,6284,951,13,15,http://172.26.129.146:8080/roller/roller-ui/login.rol,101,0,0,,,,,,
1.76336E+12,101,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-10,,TRUE,,170,480,13,15,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,101,0,0,,,,,,
