timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,
1.76336E+12,110,/roller/roller-ui/menu.rol-348-0,302,Found,User1 2-6,,TRUE,,170,489,34,56,http://172.26.129.146:8080/roller/roller-ui/menu.rol,110,0,0,,,,
1.76336E+12,103,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-6,text,TRUE,,6013,490,34,56,http://172.26.129.146:8080/roller/roller-ui/login.rol,103,0,0,,,,
1.76336E+12,381,/roller/-627,200,OK,User2 3-19,text,TRUE,,7104,418,26,64,http://172.26.129.146:8080/roller/,381,0,2,,,,
1.76336E+12,333,/roller/-332,200,OK,User1 2-32,text,TRUE,,7104,356,38,65,http://172.26.129.146:8080/roller/,333,0,2,,,,
1.76336E+12,300,/roller/-332,200,OK,User1 2-33,text,TRUE,,7104,356,38,65,http://172.26.129.146:8080/roller/,300,0,3,,,,
1.76336E+12,439,/roller/-332,200,OK,User1 2-31,text,TRUE,,7104,356,39,67,http://172.26.129.146:8080/roller/,439,0,1,,,,
1.76336E+12,874,/roller/roller_j_security_check-338,200,OK,User1 2-9,text,TRUE,,6452,1221,39,67,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,211,0,0,,,,
1.76336E+12,211,/roller/roller_j_security_check-338-0,302,Found,User1 2-9,,TRUE,,259,637,39,67,http://172.26.129.146:8080/roller/roller_j_security_check,211,0,0,,,,
1.76336E+12,663,/roller/roller_j_security_check-338-1,200,OK,User1 2-9,text,TRUE,,6193,584,39,67,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,663,0,0,,,,
1.76336E+12,1127,/roller/-627,200,OK,User2 3-6,text,TRUE,,7104,418,28,68,http://172.26.129.146:8080/roller/,1127,0,27,,,,
1.76336E+12,423,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-26,text,TRUE,,6183,951,40,68,http://172.26.129.146:8080/roller/roller-ui/login.rol,178,0,0,,,,
1.76336E+12,178,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-26,,TRUE,,170,480,40,68,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,178,0,0,,,,
1.76336E+12,245,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-26,text,TRUE,,6013,471,40,68,http://172.26.129.146:8080/roller/roller-ui/login.rol,245,0,0,,,,
